,Bird,Sex,Call,Re,Int,NoInt
0,HpiHpi1625F,F,So,Y,35,86
1,HpiHpi1625F,F,So,N,298,172
2,HpiHpi1625F,F,DC,Y,5,84
3,HpiHpi1625F,F,DC,N,283,59
4,HpiHpi1625F,F,LT,Y,19,54
5,HpiHpi1625F,F,LT,N,152,97
6,HpiHpi1625F,F,Te,Y,2,75
7,HpiHpi1625F,F,Te,N,128,167
8,HpiHpi1625F,F,Tu,Y,2,45
9,HpiHpi1625F,F,Tu,N,43,137
10,HpiHpi1625F,F,Th,Y,1,51
11,HpiHpi1625F,F,Th,N,65,138
12,HpiHpi1625F,F,Ag,Y,2,82
13,HpiHpi1625F,F,Ag,N,69,278
14,HpiHpi1625F,F,Di,Y,0,15
15,HpiHpi1625F,F,Di,N,3,39
16,HpiHpi1625F,F,Wh,Y,11,53
17,HpiHpi1625F,F,Wh,N,156,102
18,HpiHpi1625F,F,Ne,Y,11,72
19,HpiHpi1625F,F,Ne,N,190,80
20,HpiHpi1625F,F,Be,Y,31,95
21,HpiHpi1625F,F,Be,N,283,211
22,HpiHpi1918M,M,So,Y,6,121
23,HpiHpi1918M,M,So,N,135,328
24,HpiHpi1918M,M,DC,Y,14,69
25,HpiHpi1918M,M,DC,N,99,213
26,HpiHpi1918M,M,LT,Y,7,87
27,HpiHpi1918M,M,LT,N,146,223
28,HpiHpi1918M,M,Te,Y,0,88
29,HpiHpi1918M,M,Te,N,145,208
30,HpiHpi1918M,M,Tu,Y,2,70
31,HpiHpi1918M,M,Tu,N,71,223
32,HpiHpi1918M,M,Th,Y,2,98
33,HpiHpi1918M,M,Th,N,277,167
34,HpiHpi1918M,M,Ag,Y,14,123
35,HpiHpi1918M,M,Ag,N,222,359
36,HpiHpi1918M,M,Di,Y,6,61
37,HpiHpi1918M,M,Di,N,137,126
38,HpiHpi1918M,M,Wh,Y,4,83
39,HpiHpi1918M,M,Wh,N,216,190
40,HpiHpi1918M,M,Ne,Y,14,101
41,HpiHpi1918M,M,Ne,N,141,299
42,HpiHpi1918M,M,Be,Y,25,64
43,HpiHpi1918M,M,Be,N,197,165
44,HpiGra1242F,F,So,Y,1,59
45,HpiGra1242F,F,So,N,85,137
46,HpiGra1242F,F,DC,Y,15,67
47,HpiGra1242F,F,DC,N,127,189
48,HpiGra1242F,F,LT,Y,9,77
49,HpiGra1242F,F,LT,N,119,343
50,HpiGra1242F,F,Te,Y,0,24
51,HpiGra1242F,F,Te,N,38,103
52,HpiGra1242F,F,Tu,Y,8,76
53,HpiGra1242F,F,Tu,N,147,167
54,HpiGra1242F,F,Th,Y,2,99
55,HpiGra1242F,F,Th,N,172,222
56,HpiGra1242F,F,Ag,Y,39,55
57,HpiGra1242F,F,Ag,N,72,225
58,HpiGra1242F,F,Di,Y,6,115
59,HpiGra1242F,F,Di,N,153,290
60,HpiGra1242F,F,Wh,Y,0,27
61,HpiGra1242F,F,Wh,N,33,72
62,HpiGra1242F,F,Ne,Y,3,57
63,HpiGra1242F,F,Ne,N,75,152
64,HpiGra1242F,F,Be,Y,7,109
65,HpiGra1242F,F,Be,N,87,283
66,GreLbl3131M,M,So,Y,7,66
67,GreLbl3131M,M,So,N,88,178
68,GreLbl3131M,M,DC,Y,0,46
69,GreLbl3131M,M,DC,N,60,124
70,GreLbl3131M,M,LT,Y,0,33
71,GreLbl3131M,M,LT,N,31,91
72,GreLbl3131M,M,Te,Y,10,97
73,GreLbl3131M,M,Te,N,114,299
74,GreLbl3131M,M,Tu,Y,18,93
75,GreLbl3131M,M,Tu,N,162,322
76,GreLbl3131M,M,Th,Y,0,21
77,GreLbl3131M,M,Th,N,28,78
78,GreLbl3131M,M,Ag,Y,1,30
79,GreLbl3131M,M,Ag,N,36,110
80,GreLbl3131M,M,Di,Y,17,119
81,GreLbl3131M,M,Di,N,143,356
82,GreLbl3131M,M,Wh,Y,12,51
83,GreLbl3131M,M,Wh,N,107,123
84,GreLbl3131M,M,Ne,Y,11,86
85,GreLbl3131M,M,Ne,N,156,283
86,GreLbl3131M,M,Be,Y,2,61
87,GreLbl3131M,M,Be,N,65,200
88,GreLbl1635F,F,So,Y,10,127
89,GreLbl1635F,F,So,N,284,291
90,GreLbl1635F,F,DC,Y,0,82
91,GreLbl1635F,F,DC,N,157,225
92,GreLbl1635F,F,LT,Y,2,65
93,GreLbl1635F,F,LT,N,108,147
94,GreLbl1635F,F,Te,Y,1,57
95,GreLbl1635F,F,Te,N,70,174
96,GreLbl1635F,F,Tu,Y,2,66
97,GreLbl1635F,F,Tu,N,124,165
98,GreLbl1635F,F,Th,Y,30,118
99,GreLbl1635F,F,Th,N,241,355
100,GreLbl1635F,F,Ag,Y,29,136
101,GreLbl1635F,F,Ag,N,256,362
102,GreLbl1635F,F,Di,Y,4,131
103,GreLbl1635F,F,Di,N,275,235
104,GreLbl1635F,F,Wh,Y,3,88
105,GreLbl1635F,F,Wh,N,244,148
106,GreLbl1635F,F,Ne,Y,37,98
107,GreLbl1635F,F,Ne,N,295,223
108,GreLbl1635F,F,Be,Y,12,100
109,GreLbl1635F,F,Be,N,170,265
110,GraLbl4833M,M,So,Y,54,160
111,GraLbl4833M,M,So,N,421,443
112,GraLbl4833M,M,DC,Y,42,126
113,GraLbl4833M,M,DC,N,273,283
114,GraLbl4833M,M,LT,Y,33,188
115,GraLbl4833M,M,LT,N,425,435
116,GraLbl4833M,M,Te,Y,66,155
117,GraLbl4833M,M,Te,N,485,392
118,GraLbl4833M,M,Tu,Y,36,162
119,GraLbl4833M,M,Tu,N,315,455
120,GraLbl4833M,M,Th,Y,76,138
121,GraLbl4833M,M,Th,N,467,459
122,GraLbl4833M,M,Ag,Y,52,157
123,GraLbl4833M,M,Ag,N,557,280
124,GraLbl4833M,M,Di,Y,177,223
125,GraLbl4833M,M,Di,N,1261,496
126,GraLbl4833M,M,Wh,Y,26,153
127,GraLbl4833M,M,Wh,N,462,263
128,GraLbl4833M,M,Ne,Y,39,175
129,GraLbl4833M,M,Ne,N,325,524
130,GraLbl4833M,M,Be,Y,38,160
131,GraLbl4833M,M,Be,N,453,411
132,GraLbl1718F,F,So,Y,25,113
133,GraLbl1718F,F,So,N,282,235
134,GraLbl1718F,F,DC,Y,40,156
135,GraLbl1718F,F,DC,N,543,285
136,GraLbl1718F,F,LT,Y,4,154
137,GraLbl1718F,F,LT,N,520,94
138,GraLbl1718F,F,Te,Y,43,125
139,GraLbl1718F,F,Te,N,387,245
140,GraLbl1718F,F,Tu,Y,11,114
141,GraLbl1718F,F,Tu,N,325,120
142,GraLbl1718F,F,Th,Y,11,121
143,GraLbl1718F,F,Th,N,371,124
144,GraLbl1718F,F,Ag,Y,24,71
145,GraLbl1718F,F,Ag,N,163,188
146,GraLbl1718F,F,Di,Y,10,102
147,GraLbl1718F,F,Di,N,289,221
148,GraLbl1718F,F,Wh,Y,61,115
149,GraLbl1718F,F,Wh,N,378,388
150,GraLbl1718F,F,Ne,Y,11,165
151,GraLbl1718F,F,Ne,N,455,254
152,GraLbl1718F,F,Be,Y,32,129
153,GraLbl1718F,F,Be,N,359,188
154,GraGre0917M,M,So,Y,5,87
155,GraGre0917M,M,So,N,268,175
156,GraGre0917M,M,DC,Y,38,91
157,GraGre0917M,M,DC,N,290,189
158,GraGre0917M,M,LT,Y,30,121
159,GraGre0917M,M,LT,N,366,343
160,GraGre0917M,M,Te,Y,33,148
161,GraGre0917M,M,Te,N,253,460
162,GraGre0917M,M,Tu,Y,27,55
163,GraGre0917M,M,Tu,N,184,104
164,GraGre0917M,M,Th,Y,7,52
165,GraGre0917M,M,Th,N,143,108
166,GraGre0917M,M,Ag,Y,40,120
167,GraGre0917M,M,Ag,N,354,215
168,GraGre0917M,M,Di,Y,37,107
169,GraGre0917M,M,Di,N,269,345
170,GraGre0917M,M,Wh,Y,64,108
171,GraGre0917M,M,Wh,N,384,317
172,GraGre0917M,M,Be,Y,14,78
173,GraGre0917M,M,Be,N,143,125
174,GraGra1918F,F,So,Y,2,73
175,GraGra1918F,F,So,N,183,76
176,GraGra1918F,F,DC,Y,33,95
177,GraGra1918F,F,DC,N,249,355
178,GraGra1918F,F,LT,Y,29,75
179,GraGra1918F,F,LT,N,217,179
180,GraGra1918F,F,Te,Y,10,93
181,GraGra1918F,F,Te,N,183,199
182,GraGra1918F,F,Tu,Y,17,76
183,GraGra1918F,F,Tu,N,142,181
184,GraGra1918F,F,Th,Y,15,84
185,GraGra1918F,F,Th,N,219,161
186,GraGra1918F,F,Ag,Y,40,88
187,GraGra1918F,F,Ag,N,298,203
188,GraGra1918F,F,Di,Y,21,92
189,GraGra1918F,F,Di,N,250,192
190,GraGra1918F,F,Wh,Y,31,61
191,GraGra1918F,F,Wh,N,222,163
192,GraGra1918F,F,Ne,Y,18,96
193,GraGra1918F,F,Ne,N,180,187
194,GraGra1918F,F,Be,Y,5,105
195,GraGra1918F,F,Be,N,321,107
196,LblWhi1566M,M,So,Y,21,123
197,LblWhi1566M,M,So,N,437,153
198,LblWhi1566M,M,DC,Y,178,78
199,LblWhi1566M,M,DC,N,737,225
200,LblWhi1566M,M,LT,Y,37,75
201,LblWhi1566M,M,LT,N,294,154
202,LblWhi1566M,M,Te,Y,16,64
203,LblWhi1566M,M,Te,N,144,185
204,LblWhi1566M,M,Tu,Y,90,120
205,LblWhi1566M,M,Tu,N,463,341
206,LblWhi1566M,M,Th,Y,69,122
207,LblWhi1566M,M,Th,N,388,302
208,LblWhi1566M,M,Ag,Y,103,57
209,LblWhi1566M,M,Ag,N,426,179
210,LblWhi1566M,M,Di,Y,27,65
211,LblWhi1566M,M,Di,N,156,145
212,LblWhi1566M,M,Wh,Y,75,92
213,LblWhi1566M,M,Wh,N,452,246
214,LblWhi1566M,M,Ne,Y,48,54
215,LblWhi1566M,M,Ne,N,152,231
216,LblWhi1566M,M,Be,Y,141,138
217,LblWhi1566M,M,Be,N,803,338
218,LblGra3039M,M,So,Y,4,83
219,LblGra3039M,M,So,N,97,273
220,LblGra3039M,M,DC,Y,0,44
221,LblGra3039M,M,DC,N,83,135
222,LblGra3039M,M,LT,Y,3,77
223,LblGra3039M,M,LT,N,92,272
224,LblGra3039M,M,Te,Y,2,83
225,LblGra3039M,M,Te,N,114,176
226,LblGra3039M,M,Tu,Y,0,61
227,LblGra3039M,M,Tu,N,92,103
228,LblGra3039M,M,Th,Y,3,64
229,LblGra3039M,M,Th,N,72,195
230,LblGra3039M,M,Ag,Y,0,68
231,LblGra3039M,M,Ag,N,163,150
232,LblGra3039M,M,Di,Y,4,53
233,LblGra3039M,M,Di,N,100,149
234,LblGra3039M,M,Wh,Y,2,72
235,LblGra3039M,M,Wh,N,73,278
236,LblGra3039M,M,Ne,Y,8,78
237,LblGra3039M,M,Ne,N,151,235
238,LblGra3039M,M,Be,Y,0,43
239,LblGra3039M,M,Be,N,35,117
240,LblGra2826F,F,So,Y,0,39
241,LblGra2826F,F,So,N,64,215
242,LblGra2826F,F,DC,Y,1,32
243,LblGra2826F,F,DC,N,84,178
244,LblGra2826F,F,LT,Y,6,46
245,LblGra2826F,F,LT,N,200,295
246,LblGra2826F,F,Te,Y,0,45
247,LblGra2826F,F,Te,N,88,341
248,LblGra2826F,F,Tu,Y,1,33
249,LblGra2826F,F,Tu,N,54,258
250,LblGra2826F,F,Th,Y,2,63
251,LblGra2826F,F,Th,N,120,602
252,LblGra2826F,F,Ag,Y,2,38
253,LblGra2826F,F,Ag,N,85,313
254,LblGra2826F,F,Di,Y,1,35
255,LblGra2826F,F,Di,N,84,337
256,LblGra2826F,F,Wh,Y,0,48
257,LblGra2826F,F,Wh,N,73,191
258,LblGra2826F,F,Ne,Y,4,49
259,LblGra2826F,F,Ne,N,164,405
260,LblGra2826F,F,Be,Y,1,36
261,LblGra2826F,F,Be,N,57,273
